0,"PCCW 's chief operating officer , Mike Butcher , and Alex Arena , the chief financial officer , will report directly to Mr So .",Current Chief Operating Officer Mike Butcher and Group Chief Financial Officer Alex Arena will report to So .,1
1,The world 's two largest automakers said their U.S. sales declined more than predicted last month as a late summer sales frenzy caused more of an industry backlash than expected .,Domestic sales at both GM and No. 2 Ford Motor Co. declined more than predicted as a late summer sales frenzy prompted a larger-than-expected industry backlash .,1
2,"According to the federal Centers for Disease Control and Prevention ( news - web sites ) , there were 19 reported cases of measles in the United States in 2002 .",The Centers for Disease Control and Prevention said there were 19 reported cases of measles in the United States in 2002 .,1
3,A tropical storm rapidly developed in the Gulf of Mexico Sunday and was expected to hit somewhere along the Texas or Louisiana coasts by Monday night .,A tropical storm rapidly developed in the Gulf of Mexico on Sunday and could have hurricane-force winds when it hits land somewhere along the Louisiana coast Monday night .,0
4,The company didn 't detail the costs of the replacement and repairs .,But company officials expect the costs of the replacement work to run into the millions of dollars .,0
5,"The settling companies would also assign their possible claims against the underwriters to the investor plaintiffs , he added .","Under the agreement , the settling companies will also assign their potential claims against the underwriters to the investors , he added .",1
6,Air Commodore Quaife said the Hornets remained on three-minute alert throughout the operation .,Air Commodore John Quaife said the security operation was unprecedented .,0
7,"A Washington County man may have the countys first human case of West Nile virus , the health department said Friday .",The countys first and only human case of West Nile this year was confirmed by health officials on Sept . 8 .,1
8,Moseley and a senior aide delivered their summary assessments to about 300 American and allied military officers on Thursday .,General Moseley and a senior aide presented their assessments at an internal briefing for American and allied military officers at Nellis Air Force Base in Nevada on Thursday .,1
9,"The broader Standard & Poor 's 500 Index < .SPX > was 0.46 points lower , or 0.05 percent , at 997.02 .","The technology-laced Nasdaq Composite Index .IXIC was up 7.42 points , or 0.45 percent , at 1,653.44 .",0
10,Consumers would still have to get a descrambling security card from their cable operator to plug into the set .,"To watch pay television , consumers would insert into the set a security card provided by their cable service .",1
11,The increase reflects lower credit losses and favorable interest rates .,The gain came as a result of fewer credit losses and lower interest rates .,1
12,The device plays Internet radio streams and comes with a 30-day trial of RealNetworks ' Rhapsody music service .,The product also streams Internet radio and comes with a 30-day free trial for RealNetworks ' Rhapsody digital music subscription service .,1
13,"Hong Kong was flat , Australia , Singapore and South Korea lost 0.2-0.4 percent .","Australia was flat , Singapore was down 0.3 percent by midday and South Korea added 0.2 percent .",0
14,"Evidence suggests two of the victims were taken by surprise , while the other two might have tried to flee or to defend themselves or the others , police said .","Evidence suggests two victims were taken by surprise , while the others may have tried to flee or perhaps defend themselves or their friends , police said .",1
15,Ballmer has been vocal in the past warning that Linux is a threat to Microsoft .,"In the memo , Ballmer reiterated the open-source threat to Microsoft .",0
16,"A charter plane crashed in Turkey on Monday , killing all 75 people aboard , including 62 Spanish peacekeepers returning from Afghanistan , officials said .","A plane carrying 75 people , including 62 Spanish peacekeepers returning from Afghanistan , crashed in thick fog in Turkey early on Monday , killing all aboard , officials said .",1
